jurisdiction,2010,2011,2012,2013,2014
"CALIFORNIA, RIVERSIDE",74,154,316,341,624
"NEVADA, CLARK",42,91,240,189,177
"NEW YORK, NYC SPECIAL NARCOTICS BUREAU",90,76,101,138,155
"NEW YORK, QUEENS",261,235,328,291,132
"CALIFORNIA, LOS ANGELES",206,180,165,148,129
"NEW YORK, SOUTHERN",42,22,122,45,112
ARIZONA,91,56,88,113,105
COLORADO,18,10,62,121,102
"ILLINOIS, NORTHERN",73,67,131,66,96
"CALIFORNIA, SOUTHERN",8,20,78,207,87
"COLORADO, STATE ATTORNEY GENERAL",17,12,9,,87
"TEXAS, WESTERN",65,97,129,86,84
"FLORIDA, STATE ATTORNEY GENERAL",28,,,54,80
"NEW YORK, RICHMOND",7,21,28,30,80
"MARYLAND, BALTIMORE CITY",22,12,,2,78
"TEXAS, SOUTHERN",51,36,99,134,66
"CALIFORNIA, CENTRAL",61,11,164,150,65
OREGON,2,6,2,21,64
"OHIO, NORTHERN",6,5,43,20,58
"GEORGIA, NORTHERN",65,20,62,64,56
"MISSOURI, EASTERN",20,17,86,92,53
"TENNESSEE, 20TH JUDICIAL DISTRICT (DAVIDSON)",33,23,23,,47
"PENNSYLVANIA, WESTERN",3,14,34,31,45
MARYLAND,11,24,26,25,44
"FLORIDA, MIDDLE",21,18,25,40,43
"ARKANSAS, EASTERN",3,10,27,26,41
"TEXAS, NORTHERN",31,17,39,48,41
MASSACHUSETTS,13,9,16,37,40
NEW JERSEY,7,19,21,22,40
"MISSOURI, WESTERN",26,6,45,34,39
KANSAS,25,22,25,23,35
NEW MEXICO,10,,42,28,34
"ILLINOIS, COOK",23,39,33,24,31
"CALIFORNIA, EASTERN",15,1,41,35,31
"NEW JERSEY, STATE ATTORNEY GENERAL",67,23,16,34,31
"FLORIDA, SOUTHERN",39,11,68,78,31
"CALIFORNIA, SAN BERNARDINO",116,76,69,43,30
"VIRGINIA, EASTERN",32,18,41,46,30
"OHIO, SOUTHERN",1,,7,8,30
"PENNSYLVANIA, STATE ATTORNEY GENERAL",21,29,30,26,29
CONNECTICUT,29,2,37,50,29
"CALIFORNIA, NORTHERN",5,4,24,42,29
"CALIFORNIA, VENTURA",18,22,25,13,28
"NORTH CAROLINA, EASTERN",1,3,29,26,26
"NEW YORK, WESTCHESTER",1,18,16,,25
DISTRICT OF COLUMBIA,22,18,34,44,25
"TENNESSEE, EASTERN",7,2,18,36,25
MINNESOTA,7,7,5,,24
"TENNESSEE, MIDDLE",27,12,13,41,23
"NEW YORK, EASTERN",6,5,22,11,23
"LOUISIANA, EASTERN",42,3,19,27,21
HAWAII,4,1,13,1,21
"KENTUCKY, WESTERN",7,4,15,49,21
"MARYLAND, HARFORD",27,25,34,20,21
"NEW JERSEY, SOMERSET",16,4,7,21,21
SOUTH CAROLINA,17,2,3,14,20
"COLORADO, 18TH JUDICIAL DISTRICT (ARAPAHOE)",1,1,,1,20
"PENNSYLVANIA, EASTERN",8,12,20,37,19
"CALIFORNIA, KERN",13,8,2,10,19
"ALABAMA, NORTHERN",10,,12,30,19
"CALIFORNIA, SAN JOAQUIN",4,8,,9,18
"NORTH CAROLINA, WESTERN",21,3,20,6,18
"COLORADO, 4TH JUDICIAL DISTRICT (EL PASO)",33,35,38,12,17
MAINE,6,6,15,20,17
"OKLAHOMA, NORTHERN",1,,1,6,16
"FLORIDA, 18TH JUDICIAL CIRCUIT (BREVARD/SEMINOLE)",33,46,7,9,16
"NORTH CAROLINA, WAKE",1,1,,,15
"NEW JERSEY, ATLANTIC",2,1,2,6,15
"ARIZONA, MARICOPA",15,21,13,5,15
"INDIANA, SOUTHERN",11,33,51,50,15
"CALIFORNIA, STANISLAUS",14,4,25,13,14
NEVADA,11,7,10,38,14
"NEW JERSEY, ESSEX",16,6,6,9,14
"CALIFORNIA, SAN DIEGO",77,43,37,18,14
"PENNSYLVANIA, MIDDLE",4,1,1,22,13
"ILLINOIS, DUPAGE",5,,,22,13
"CALIFORNIA, SANTA CLARA",5,19,24,14,13
"LOUISIANA, WESTERN",2,2,21,23,12
"WASHINGTON, WESTERN",17,25,31,10,12
"MARYLAND, BALTIMORE",31,22,5,9,11
"CALIFORNIA, TULARE",7,,,,11
"GEORGIA, MIDDLE",12,1,16,11,11
"PENNSYLVANIA, BERKS",3,6,,7,11
"ALABAMA, MIDDLE",8,4,16,5,11
"NEW YORK, NORTHERN",12,5,28,9,10
"PENNSYLVANIA, MONTGOMERY",18,9,11,12,10
"KENTUCKY, EASTERN",5,3,15,21,10
"ARIZONA, PIMA",13,40,5,,10
"NEW JERSEY, BERGEN",12,11,5,,9
"NEW JERSEY, MONMOUTH",5,7,11,8,9
PUERTO RICO,8,4,17,17,9
UTAH,5,4,15,10,9
DELAWARE,1,2,2,5,9
"MISSISSIPPI, SOUTHERN",4,5,6,23,8
"NEW YORK, WESTERN",15,8,14,12,8
"COLORADO, 19TH JUDICIAL DISTRICT (WELD)",5,,3,4,8
RHODE ISLAND,3,1,1,3,7
"FLORIDA, 5TH JUDICIAL CIRCUIT (LAKE/MARION)",10,10,10,8,7
"NEW YORK, NY ORGANIZED CRIME TASK FORCE",16,13,11,7,7
"NEW YORK, ROCKLAND",8,,,,6
"CALIFORNIA, SACRAMENTO",31,9,3,8,6
"GEORGIA, SOUTHERN",4,,4,18,6
IDAHO,7,,,6,5
"NEW JERSEY, CUMBERLAND",13,9,16,3,5
"MICHIGAN, EASTERN",19,3,26,12,5
"ILLINOIS, SOUTHERN",17,4,19,6,5
"FLORIDA, 19TH JUDICIAL CIRCUIT (SAINT LUCIE)",34,1,2,9,5
"COLORADO, 21ST JUDICIAL DISTRICT (MESA)",13,3,3,15,5
"WASHINGTON, EASTERN",1,8,6,,5
"NEW JERSEY, OCEAN",15,12,3,6,4
"CALIFORNIA, SANTA BARBARA",19,11,5,5,4
"TEXAS, EASTERN",3,5,5,15,4
"INDIANA, NORTHERN",7,19,4,12,4
"PENNSYLVANIA, CHESTER",5,8,,,3
"CALIFORNIA, ORANGE",37,26,13,4,3
"FLORIDA, NORTHERN",11,,4,4,3
"NEW YORK, NASSAU",3,1,5,1,3
"NEW JERSEY, MORRIS",28,13,,6,3
"NEW JERSEY, BURLINGTON",1,1,1,,3
"OHIO, HAMILTON",4,9,6,6,3
"WISCONSIN, EASTERN",16,,2,9,2
"MARYLAND, WICOMICO",2,2,1,1,2
"IOWA, NORTHERN",11,3,2,10,2
"WEST VIRGINIA, NORTHERN",2,,9,3,2
"TENNESSEE, 30TH JUDICIAL DISTRICT (SHELBY)",2,14,11,1,2
"COLORADO, 20TH JUDICIAL DISTRICT (BOULDER)",9,2,11,2,2
"CALIFORNIA, SONOMA",1,4,,,2
"NEW JERSEY, GLOUCESTER",13,14,1,4,2
"NEW JERSEY, UNION",11,19,23,7,1
"NEW JERSEY, SALEM",11,,4,14,1
"CALIFORNIA, MERCED",2,16,6,1,1
"INDIANA, MARION",1,,3,,1
"IOWA, SOUTHERN",7,3,7,8,1
"NEW JERSEY, CAPE MAY",4,1,2,7,1
ALASKA,5,,,4,1
"WYOMING, LARAMIE",1,3,6,,1
"WEST VIRGINIA, SOUTHERN",4,,,7,1
